TRAV,TRAV_merge
TRAV10N,TRAV10
TRAV11N,TRAV11
TRAV12N-1,TRAV12-1
TRAV12N-2,TRAV12-2
TRAV12N-3,TRAV12-3
TRAV13N-1,TRAV13-1
TRAV13N-2,TRAV13-2
TRAV13N-3,TRAV13-3
TRAV13N-4,TRAV13-4/DV7
TRAV14N-1,TRAV14-1
TRAV14N-2,TRAV14-2
TRAV14N-3,TRAV14-3
TRAV15N-1,TRAV15-1/DV6-1
TRAV15N-2,TRAV15-2/DV6-2
TRAV16N,TRAV16
TRAV3N-3,TRAV3-3
TRAV4N-3,TRAV4-3
TRAV4N-4,TRAV4-4/DV10
TRAV5N-2,TRAV5-2
TRAV5N-4,TRAV5-4
TRAV6N-5,TRAV6-5
TRAV6N-6,TRAV6-6
TRAV6N-7,TRAV6-7/DV9
TRAV7N-4,TRAV7-4
TRAV7N-5,TRAV7-5
TRAV7N-6,TRAV7-6
TRAV8N-2,TRAV8-2
TRAV9N-2,TRAV9-2
TRAV9N-3,TRAV9-3
TRAV9N-4,TRAV9-4
TRAV10D,TRAV10
TRAV11D,TRAV11
TRAV12D-1,TRAV12-1
TRAV12D-2,TRAV12-2
TRAV12D-3,TRAV12-3
TRAV13D-1,TRAV13-1
TRAV13D-2,TRAV13-2
TRAV13D-3,TRAV13-3
TRAV13D-4,TRAV13-4/DV7
TRAV14D-1,TRAV14-1
TRAV14D-2,TRAV14-2
TRAV14D-3/DV8,TRAV14-3
TRAV15D-1/DV6D-1,TRAV15-1/DV6-1
TRAV15D-2/DV6D-2,TRAV15-2/DV6-2
TRAV16D/DV11,TRAV16
TRAV3D-3,TRAV3-3
TRAV4D-2,TRAV4-2
TRAV4D-3,TRAV4-3
TRAV4D-4,TRAV4-4/DV10
TRAV5D-2,TRAV5-2
TRAV5D-4,TRAV5-4
TRAV6D-3,TRAV6-3
TRAV6D-4,TRAV6-4
TRAV6D-5,TRAV6-5
TRAV6D-6,TRAV6-6
TRAV6D-7,TRAV6-7/DV9
TRAV7D-2,TRAV7-2
TRAV7D-3,TRAV7-3
TRAV7D-4,TRAV7-4
TRAV7D-5,TRAV7-5
TRAV7D-6,TRAV7-6
TRAV8D-1,TRAV8-1
TRAV8D-2,TRAV8-2
TRAV9D-1,TRAV9-1
TRAV9D-2,TRAV9-2
TRAV9D-3,TRAV9-3
TRAV9D-4,TRAV9-4
